Id,ElapsedTime
IXI318-Guys-0895-,13.944
IXI319-Guys-0901-,11.299
IXI320-Guys-0902-,16.178
IXI321-Guys-0903-,10.976
IXI322-IOP-0891-,12.974
IXI324-Guys-0922-,13.147
IXI325-Guys-0911-,11.028
IXI326-Guys-0907-,15.060
IXI327-HH-1999-,14.174
IXI041-Guys-0706-,11.563
IXI328-HH-2295-,16.147
IXI329-HH-1908-,17.270
IXI330-Guys-0881-,15.568
IXI331-IOP-0892-,15.319
IXI332-IOP-1134-,15.225
IXI333-IOP-0926-,14.809
IXI334-HH-1907-,13.379
IXI335-HH-1906-,15.552
IXI336-Guys-0904-,12.214
IXI337-IOP-0929-,15.202
IXI042-Guys-0725-,17.675
IXI013-HH-1212-,20.965
IXI338-HH-1971-,11.690
IXI340-IOP-0915-,16.956
IXI341-Guys-0906-,15.422
IXI342-Guys-0909-,14.337
IXI344-Guys-0905-,12.208
IXI345-IOP-0928-,17.653
IXI347-IOP-0927-,16.504
IXI348-Guys-0910-,12.807
IXI350-Guys-0908-,13.594
IXI351-Guys-0914-,10.759
IXI043-Guys-0714-,12.981
IXI353-HH-1996-,13.897
IXI354-HH-2024-,12.603
IXI356-HH-2049-,10.649
IXI357-HH-2076-,19.971
IXI358-Guys-0919-,11.998
IXI359-Guys-0918-,12.097
IXI360-Guys-0912-,11.688
IXI361-Guys-0913-,15.761
IXI362-HH-2051-,13.047
IXI363-HH-2050-,13.749
IXI044-Guys-0712-,9.405
IXI364-Guys-0920-,12.300
IXI365-Guys-0923-,16.600
IXI367-Guys-0917-,14.071
IXI368-Guys-0916-,17.524
IXI369-Guys-0924-,12.392
IXI370-Guys-0921-,12.909
IXI371-IOP-0970-,19.653
IXI372-IOP-0971-,15.263
IXI373-IOP-0967-,14.154
IXI375-Guys-0925-,13.119
IXI045-Guys-0713-,11.799
IXI376-Guys-0938-,12.814
IXI377-Guys-0937-,14.399
IXI378-IOP-0972-,12.886
IXI379-Guys-0943-,14.736
IXI380-Guys-0944-,12.491
IXI381-Guys-1024-,12.579
IXI382-IOP-1135-,21.436
IXI383-HH-2099-,11.934
IXI384-HH-2100-,15.021
IXI385-HH-2078-,19.765
IXI046-Guys-0824-,17.631
IXI386-HH-2077-,15.808
IXI387-HH-2101-,17.919
IXI388-IOP-0973-,16.353
IXI389-Guys-0930-,16.993
IXI391-Guys-0934-,10.978
IXI392-Guys-1064-,10.421
IXI393-Guys-0941-,10.827
IXI394-Guys-0940-,12.075
IXI395-IOP-0969-,11.153
IXI048-HH-1326-,13.161
IXI396-HH-2115-,11.259
IXI397-Guys-0953-,10.579
IXI398-Guys-0952-,10.415
IXI399-Guys-0966-,10.243
IXI400-Guys-0977-,10.726
IXI401-Guys-0978-,12.098
IXI402-Guys-0961-,9.473
IXI403-Guys-0965-,11.628
IXI404-Guys-0950-,12.498
IXI405-Guys-0948-,10.060
IXI049-HH-1358-,12.049
IXI406-Guys-0963-,17.170
IXI407-Guys-0964-,13.524
IXI408-Guys-0962-,13.056
IXI409-Guys-0960-,18.151
IXI410-Guys-0958-,15.042
IXI411-Guys-0959-,14.843
IXI412-Guys-0949-,12.671
IXI413-Guys-0955-,14.611
IXI414-Guys-0957-,14.621
IXI415-Guys-0942-,16.587
IXI050-Guys-0711-,11.967
IXI416-Guys-1051-,12.753
IXI417-Guys-0939-,16.612
IXI418-Guys-0956-,17.378
IXI420-Guys-1028-,10.984
IXI423-IOP-0974-,11.801
IXI424-IOP-0991-,8.204
IXI425-IOP-0988-,11.813
IXI426-IOP-1011-,13.170
IXI051-HH-1328-,10.612
IXI427-IOP-1012-,12.188
IXI428-Guys-0996-,10.611
IXI429-Guys-0997-,10.038
IXI430-IOP-0990-,11.769
IXI431-Guys-0986-,8.796
IXI432-Guys-0987-,13.289
IXI433-IOP-0989-,10.465
IXI434-IOP-1010-,11.296
IXI435-IOP-1040-,11.148
IXI052-HH-1343-,8.099
IXI437-HH-2152-,7.905
IXI438-HH-2155-,10.709
IXI439-HH-2114-,12.390
IXI440-HH-2127-,15.514
IXI441-HH-2154-,13.556
IXI442-IOP-1041-,20.560
IXI443-HH-2215-,16.262
IXI444-HH-2270-,14.376
IXI445-HH-2269-,17.933
IXI053-Guys-0727-,11.006
IXI014-HH-1236-,16.056
IXI449-Guys-1082-,9.043
IXI450-Guys-1093-,7.816
IXI451-HH-2212-,16.963
IXI452-HH-2213-,15.572
IXI453-HH-2214-,14.275
IXI454-Guys-1083-,16.941
IXI455-Guys-0981-,18.220
IXI456-Guys-1019-,11.480
IXI054-Guys-0707-,15.258
IXI457-Guys-0984-,21.323
IXI458-Guys-0993-,20.950
IXI459-Guys-0992-,13.977
IXI460-Guys-0999-,17.396
IXI461-Guys-0998-,15.141
IXI462-IOP-1042-,17.257
IXI463-IOP-1043-,14.064
IXI464-IOP-1029-,13.458
IXI465-HH-2176-,17.693
IXI467-Guys-0983-,15.151
IXI055-Guys-0730-,10.402
IXI468-Guys-0985-,12.730
IXI469-IOP-1136-,15.604
IXI470-IOP-1030-,17.200
IXI473-IOP-1137-,14.969
IXI474-IOP-1138-,14.493
IXI475-IOP-1139-,22.561
