Id,ElapsedTime
OAS1_0021_MR1_mpr_n4_anon_sbj_111,13.789
OAS1_0201_MR1_mpr_n4_anon_sbj_111,16.742
OAS1_0202_MR1_mpr_n4_anon_sbj_111,16.265
OAS1_0202_MR2_mpr_n4_anon_sbj_111,16.889
OAS1_0203_MR1_mpr_n4_anon_sbj_111,14.470
OAS1_0204_MR1_mpr_n4_anon_sbj_111,19.020
OAS1_0205_MR1_mpr_n4_anon_sbj_111,15.831
OAS1_0206_MR1_mpr_n4_anon_sbj_111,17.917
OAS1_0207_MR1_mpr_n3_anon_sbj_111,16.907
OAS1_0208_MR1_mpr_n3_anon_sbj_111,16.253
OAS1_0209_MR1_mpr_n4_anon_sbj_111,16.069
OAS1_0022_MR1_mpr_n4_anon_sbj_111,12.878
OAS1_0003_MR1_mpr_n4_anon_sbj_111,11.375
OAS1_0210_MR1_mpr_n4_anon_sbj_111,16.216
OAS1_0211_MR1_mpr_n4_anon_sbj_111,17.100
OAS1_0212_MR1_mpr_n4_anon_sbj_111,16.966
OAS1_0213_MR1_mpr_n4_anon_sbj_111,15.407
OAS1_0214_MR1_mpr_n3_anon_sbj_111,17.748
OAS1_0216_MR1_mpr_n4_anon_sbj_111,14.721
OAS1_0217_MR1_mpr_n4_anon_sbj_111,14.678
OAS1_0218_MR1_mpr_n4_anon_sbj_111,17.064
OAS1_0220_MR1_mpr_n4_anon_sbj_111,15.609
OAS1_0221_MR1_mpr_n4_anon_sbj_111,17.050
OAS1_0023_MR1_mpr_n4_anon_sbj_111,11.311
OAS1_0222_MR1_mpr_n4_anon_sbj_111,14.841
OAS1_0223_MR1_mpr_n3_anon_sbj_111,18.818
OAS1_0224_MR1_mpr_n4_anon_sbj_111,14.676
OAS1_0226_MR1_mpr_n4_anon_sbj_111,16.376
OAS1_0227_MR1_mpr_n4_anon_sbj_111,14.802
OAS1_0228_MR1_mpr_n4_anon_sbj_111,15.832
OAS1_0229_MR1_mpr_n4_anon_sbj_111,16.695
OAS1_0230_MR1_mpr_n4_anon_sbj_111,13.887
OAS1_0230_MR2_mpr_n4_anon_sbj_111,14.056
OAS1_0231_MR1_mpr_n4_anon_sbj_111,13.024
OAS1_0025_MR1_mpr_n4_anon_sbj_111,13.689
OAS1_0232_MR1_mpr_n4_anon_sbj_111,15.477
OAS1_0233_MR1_mpr_n4_anon_sbj_111,13.117
OAS1_0234_MR1_mpr_n4_anon_sbj_111,11.908
OAS1_0235_MR1_mpr_n3_anon_sbj_111,11.590
OAS1_0236_MR1_mpr_n4_anon_sbj_111,13.899
OAS1_0236_MR2_mpr_n4_anon_sbj_111,12.015
OAS1_0237_MR1_mpr_n4_anon_sbj_111,12.906
OAS1_0238_MR1_mpr_n4_anon_sbj_111,11.160
OAS1_0239_MR1_mpr_n4_anon_sbj_111,14.307
OAS1_0239_MR2_mpr_n4_anon_sbj_111,12.932
OAS1_0026_MR1_mpr_n3_anon_sbj_111,9.569
OAS1_0240_MR1_mpr_n3_anon_sbj_111,9.685
OAS1_0241_MR1_mpr_n4_anon_sbj_111,12.384
OAS1_0243_MR1_mpr_n4_anon_sbj_111,11.759
