Id,ElapsedTime
1013090_,14.1622222222222
3106263_,17.44
3166395_,15.2433333333333
3209959_,16.2247222222222
3261820_,14.5211111111111
3304648_,14.7152777777778
3328556_,16.8441666666667
3329569_,15.0891666666667
3346545_,15.0911111111111
3362208_,16.9127777777778
3366302_,17.8486111111111
1285465_,14.8052777777778
3374719_,16.1336111111111
3409284_,17.7775
3431295_,17.0516666666667
3431940_,15.4808333333333
3466763_,15.1552777777778
3486362_,15.1119444444444
3492484_,14.8313888888889
3566919_,19.6658333333333
3594255_,15.4044444444444
3606220_,14.8952777777778
1288657_,16.1222222222222
3611212_,18.0188888888889
3695138_,15.2122222222222
3701005_,14.5977777777778
3729976_,16.9775
3755111_,14.1955555555556
3773269_,18.5766666666667
3795193_,15.3905555555556
3808535_,17.5763888888889
3811036_,15.0222222222222
3815065_,15.4983333333333
1292527_,16.2727777777778
3827479_,15.4863888888889
3848143_,18.83
3875444_,14.6088888888889
3893245_,16.8541666666667
3895064_,15.5936111111111
3911767_,18.8108333333333
3927656_,17.3430555555556
3934325_,17.6077777777778
3951328_,18.3316666666667
3965194_,16.705
1309257_,13.4308333333333
3989122_,17.4333333333333
4006955_,15.1952777777778
4015919_,15.0558333333333
4026825_,15.5025
4077433_,18.7655555555556
4087509_,13.1891666666667
4089896_,16.0655555555556
4097119_,16.1344444444444
4100790_,17.8277777777778
4119751_,16.4863888888889
1322220_,14.7725
4143704_,16.4372222222222
4154799_,15.6905555555556
4176156_,15.3358333333333
4188346_,15.0761111111111
4230470_,16.3783333333333
4277600_,17.1758333333333
4290056_,16.9769444444444
4323037_,16.9775
4417007_,18.635
4487215_,16.8947222222222
1334556_,16.4238888888889
4710111_,14.5516666666667
4791943_,16.0488888888889
5108043_,14.2211111111111
5161117_,16.1552777777778
5205221_,16.8538888888889
5279162_,18.3708333333333
5461463_,18.1022222222222
5844518_,16.0791666666667
6471972_,18.3813888888889
6539040_,14.4427777777778
1334913_,15.3138888888889
6692978_,14.0197222222222
6913939_,14.34
7055197_,17.7163888888889
7212617_,14.1966666666667
8317157_,16.2933333333333
8574662_,14.8547222222222
8628499_,17.56
8691891_,14.1763888888889
9100911_,20.3433333333333
9421819_,16.8563888888889
1339484_,16.5341666666667
9536886_,13.5958333333333
9537916_,14.6258333333333
9630905_,19.9783333333333
9645370_,17.5402777777778
9716792_,14.3580555555556
9780496_,17.2805555555556
1351931_,17.0825
1366839_,16.5558333333333
1034049_,18.9280555555556
1382333_,16.86
1427581_,16.2675
1476437_,16.9188888888889
1494230_,14.0211111111111
1508861_,18.9513888888889
1522653_,15.2238888888889
1523112_,16.8322222222222
1525492_,14.5666666666667
1534265_,15.7927777777778
1591238_,10.0022222222222
1097782_,16.3758333333333
1601547_,10.4577777777778
1616468_,18.2527777777778
1654606_,14.2566666666667
1709141_,15.5055555555556
1713513_,13.9430555555556
1734822_,16.42
1742775_,15.3588888888889
1753435_,14.7172222222222
1757866_,16.2202777777778
1764982_,13.715
1103722_,16.5452777777778
1781836_,15.4719444444444
1834799_,15.2069444444444
1875434_,17.4636111111111
1898228_,12.4930555555556
1903493_,15.8622222222222
1915832_,16.3908333333333
1931386_,14.7791666666667
1935851_,14.6963888888889
1940084_,13.9247222222222
1943306_,15.7580555555556
1125244_,17.9427777777778
1961098_,16.8430555555556
2005303_,15.2566666666667
2021454_,14.7544444444444
2041109_,14.9086111111111
2071045_,15.8672222222222
2113846_,15.3711111111111
2132437_,13.0416666666667
2139745_,14.6586111111111
2160826_,17.0080555555556
2166659_,17.4866666666667
1143655_,18.3266666666667
2176073_,16.5661111111111
2221971_,16.2291666666667
2248813_,17.9011111111111
2258252_,14.0438888888889
2286053_,16.6191666666667
2286816_,17.1588888888889
2328270_,15.9208333333333
2357976_,14.5783333333333
2362594_,13.3333333333333
2403029_,16.6322222222222
1150497_,15.6205555555556
2436415_,17.1066666666667
2457957_,16.4880555555556
2465771_,15.3361111111111
2475376_,17.4475
2483617_,17.4402777777778
2505567_,17.3525
2513310_,16.8269444444444
2524225_,17.7086111111111
2531270_,17.9330555555556
2541244_,15.1577777777778
1192435_,15.7180555555556
2631208_,14.7866666666667
2652676_,15.8219444444444
2674565_,18.4247222222222
2675807_,15.3202777777778
2678751_,15.51
2731081_,17.5455555555556
2784584_,15.6663888888889
2788776_,16.865
2842950_,16.1908333333333
2861923_,16.1752777777778
1264721_,18.7761111111111
2864064_,17.3408333333333
2868630_,15.4008333333333
2882334_,17.4955555555556
2915821_,15.7391666666667
2970212_,15.325
2986140_,17.6566666666667
3033715_,17.2513888888889
3070385_,18.025
3081896_,16.9130555555556
3094481_,18.4391666666667
1271401_,15.9744444444444
